time/total_timesteps,time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/loss,train/learning_rate
4800,9515,0.9994571428571429,4,0,200.0,-250702.1865269167,0.0,,,
4800,9456,,8,0,200.0,-250702.1865269167,0.0,,,
4800,9409,,12,0,200.0,-250702.1865269167,0.0,,,
4800,9364,,16,0,200.0,-250702.1865269167,0.0,,,
4800,9320,,20,0,200.0,-250702.1865269167,0.0,,,
4800,9278,,24,0,200.0,-250702.1865269167,0.0,,,
9600,9447,0.9989142857142856,28,1,200.0,-248805.57050970834,0.0,,,
9600,9420,,32,1,200.0,-248805.57050970834,0.0,,,
9600,9397,,36,1,200.0,-248805.57050970834,0.0,,,
9600,9374,,40,1,200.0,-248805.57050970834,0.0,,,
9600,9352,,44,1,200.0,-248805.57050970834,0.0,,,
9600,9330,,48,1,200.0,-248805.57050970834,0.0,,,
14400,7189,0.9983714285714286,52,2,200.0,-249409.23172173614,0.0,45,1254.956640625,0.0001
14400,7177,,56,2,200.0,-249409.23172173614,0.0,,,
14400,7168,,60,2,200.0,-249409.23172173614,0.0,,,
14400,7160,,64,2,200.0,-249409.23172173614,0.0,,,
14400,7151,,68,2,200.0,-249409.23172173614,0.0,,,
14400,7143,,72,2,200.0,-249409.23172173614,0.0,,,
19200,6869,0.9978285714285714,76,2,200.0,-249150.62975283337,0.0,95,1282.480859375,0.0001
19200,6861,,80,2,200.0,-249150.62975283337,0.0,,,
19200,6855,,84,2,200.0,-249150.62975283337,0.0,,,
19200,6849,,88,2,200.0,-249150.62975283337,0.0,,,
19200,6843,,92,2,200.0,-249150.62975283337,0.0,,,
19200,6837,,96,2,200.0,-249150.62975283337,0.0,,,
24000,6703,0.9972857142857143,100,3,200.0,-248887.19227946003,0.0,145,1052.55703125,0.0001
24000,6698,,104,3,200.0,-248887.19227946003,0.0,,,
24000,6693,,108,3,200.0,-248887.19227946003,0.0,,,
24000,6689,,112,3,200.0,-248887.19227946003,0.0,,,
24000,6683,,116,3,200.0,-248887.19227946003,0.0,,,
24000,6679,,120,3,200.0,-248887.19227946003,0.0,,,
28800,6533,0.9967428571428572,124,4,200.0,-249889.36104562998,0.0,195,912.9977416992188,0.0001
28800,6528,,128,4,200.0,-249889.36104562998,0.0,,,
28800,6524,,132,4,200.0,-249889.36104562998,0.0,,,
28800,6521,,136,4,200.0,-249889.36104562998,0.0,,,
28800,6517,,140,4,200.0,-249889.36104562998,0.0,,,
28800,6514,,144,4,200.0,-249889.36104562998,0.0,,,
33600,6454,0.9962,148,5,200.0,-250037.2398291,0.0,245,1000.4645263671875,0.0001
33600,6449,,152,5,200.0,-250037.2398291,0.0,,,
33600,6445,,156,5,200.0,-250037.2398291,0.0,,,
33600,6442,,160,5,200.0,-250037.2398291,0.0,,,
33600,6439,,164,5,200.0,-250037.2398291,0.0,,,
33600,6435,,168,5,200.0,-250037.2398291,0.0,,,
38400,6396,0.9956571428571429,172,6,200.0,-249795.77292834996,0.0,295,418.8802734375,0.0001
38400,6393,,176,6,200.0,-249795.77292834996,0.0,,,
38400,6390,,180,6,200.0,-249795.77292834996,0.0,,,
38400,6387,,184,6,200.0,-249795.77292834996,0.0,,,
38400,6385,,188,6,200.0,-249795.77292834996,0.0,,,
38400,6382,,192,6,200.0,-249795.77292834996,0.0,,,
43200,6354,0.9951142857142856,196,6,200.0,-249868.92677720997,0.0,345,502.7124267578125,0.0001
43200,6350,,200,6,200.0,-249868.92677720997,0.0,,,
43200,6348,,204,6,200.0,-249868.92677720997,0.0,,,
43200,6346,,208,6,200.0,-249868.92677720997,0.0,,,
43200,6344,,212,6,200.0,-249868.92677720997,0.0,,,
43200,6341,,216,6,200.0,-249868.92677720997,0.0,,,
48000,6316,0.9945714285714286,220,7,200.0,-248263.25063447002,0.0,395,224.99422302246094,0.0001
48000,6314,,224,7,200.0,-248263.25063447002,0.0,,,
48000,6311,,228,7,200.0,-248263.25063447002,0.0,,,
48000,6309,,232,7,200.0,-248263.25063447002,0.0,,,
48000,6307,,236,7,200.0,-248263.25063447002,0.0,,,
48000,6305,,240,7,200.0,-248263.25063447002,0.0,,,
52800,6286,0.9940285714285715,244,8,200.0,-248181.75594425,0.0,445,680.3104248046875,0.0001
52800,6284,,248,8,200.0,-248181.75594425,0.0,,,
52800,6282,,252,8,200.0,-248181.75594425,0.0,,,
52800,6280,,256,8,200.0,-248181.75594425,0.0,,,
